smiles,IC50(nM)
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(CCO)c2=O)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(Nc2nccc3ccn(C)c(=O)c23)c1C,
COc1cc(cc(F)c1CNCCCC(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(C)c2=O)c1C,
COc1cc(cc(F)c1CNCCS(O)(=O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(C)c2=O)c1C,
COc1cc(cc(F)c1CNCC(C)(C)O)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(C)c2=O)c1C,
COc1cc(cc(F)c1CNCCC(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(Nc2cccc3ccn(C)c(=O)c23)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(cn2)C(=O)NCCO)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(OCC(O)=O)cn2)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(Nc2cccc3ncn(C)c(=O)c23)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(CC(N)=O)c2=O)c1C,505
COc1cc(cc(F)c1CN[C@@](C)(CO)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(C)c2=O)c1C |r|,505
COc1cc(cc(F)c1CNCC(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(C)c2=O)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(CC(O)=O)c2=O)c1C,5500
COc1cc(cc(F)c1CN1CC(O)C1)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cncn(C)c2=O)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cc(ncn2)C(N)=O)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cc(ncn2)C(O)=O)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(OCC(N)=O)cn2)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cccnc2O)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cnc(cn2)C(N)=O)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ncc(cn2)C(N)=O)c1C,
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(C)c2=O)c1C,
CCOc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(cn2)C(O)=O)c1C,5500
CCOc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(cn2)C(=O)OC)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cc([nH]n2)C(O)=O)c1C,5500
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(cn2)C(=O)NCC(O)=O)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(cn2)C(=O)N(C)C)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cnc(CC(N)=O)cn2)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)C2CN(CC(N)=O)CCO2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cnc(CC(O)=O)cn2)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(CC(N)=O)cn2)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cccn(C)c2=O)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)[C@@H]2CNCCO2)c1C |r|,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)[C@H]2CNCCO2)c1C |r|,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)C2CN(CC(O)=O)CCO2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)C2CN(C)CCO2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)C2CN(CCO)CCO2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(cn2)C(N)=O)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(Nc2nccc3cccnc23)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)[C@H]2COCCN2)c1C |r|,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cc(N)ncn2)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccnc(C)n2)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cnc(cn2)C(O)=O)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)C2CNCCO2)c1C,505
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)C2CNCCO2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)C2CCNCC2)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cnc(CO)cn2)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cncc(N)n2)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)C2CNCCO2)c1C,505
COc1cc(cc(F)c1CN[C@@](C)(CO)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)C2CCNCC2)c1C |r|,5500
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)C2CCNCC2)c1C,505
COC(=O)Cc1ccc(nc1)C(=O)Nc1cccc(c1C)-c1cccc(c1C)-c1cc(F)c(CN)c(OC)c1,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cnc(N)cn2)c1C,
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(cn2)C(O)=O)c1C,505
COC(=O)c1ccc(nc1)C(=O)Nc1cccc(c1C)-c1cccc(c1C)-c1cc(F)c(CNCCO)c(OC)c1,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(CC(O)=O)cn2)c1C,505
COc1cc(cc(F)c1CN[C@@](C)(CO)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)C2CCCO2)c1C |r|,5500
COc1cc(cc(F)c1CN1CC(O)C1)-c1cccc(c1C)-c1cccc(NC(=O)c2ccncn2)c1C,
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)c2ccncn2)c1C,
COc1cc(cc(F)c1CNCC(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccncn2)c1C,505
COc1cc(cc(F)c1CN1CC(C)(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccncn2)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)C2CCCO2)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(CO)cn2)c1C,
COc1cc(cc(F)c1CN[C@@](C)(CO)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccncn2)c1C |r|,505
COc1cc(cc(F)c1C(C)N)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,505
COc1cc(cc(F)c1CNCCCC(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccncn2)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2nccs2)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccnc(N)n2)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1F)-c1cccc(NC(=O)c2ccccn2)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ncco2)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)C2CCCCN2)c1C,5500
COc1ccc(nc1)C(=O)Nc1cccc(c1C)-c1cccc(c1C)-c1cc(F)c(CN2CC(C2)C(O)=O)c(OC)c1,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(cn2)C(O)=O)c1C,505
COC(=O)c1ccc(nc1)C(=O)Nc1cccc(c1C)-c1cccc(c1C)-c1cc(F)c(CN)c(OC)c1,505
COc1cc(cc(F)c1CN1CCC[C@H](C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C |r|,505
COc1cc(cc(F)c1CN1CCC[C@@H](C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C |r|,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(-c2cccc(NC(=O)c3ccccn3)c2C)c1C#N,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cnccn2)c1C,
COc1cc(cc(F)c1CN1CCC(CC1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(F)cn2)c1C,505
COc1cc(cc(F)c1CN1CC(C)(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cnccn2)c1C,
COc1cc(cc(F)c1CN1CCC2(C1)NC(=O)NC2=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)C2CCCCO2)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ncc(C)cn2)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2ccccn2)c1C,
COc1cc(cc(F)c1CN1CC[C@H](C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C |r|,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccncn2)c1C,
COc1cc(cc(F)c1CN1CC[C@@H](C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C |r|,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(Cl)cn2)c1C,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1F,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(C)cn2)c1C,
COc1cc(cc(F)c1CN1CCOC[C@@H]1CO)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C |r|,505
COc1cc(cc(F)c1CN1CCOC[C@H]1CO)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C |r|,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccncn2)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1,505
COc1cc(cc(F)c1CNC(CO)CO)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,505
COc1cc(cc(F)c1CN1CCCC[C@@H]1C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C |r|,5500
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ncccn2)c1C,
COc1cc(cc(F)c1CNC(CO)(CO)CO)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,
COc1cc(cc(F)c1CN1CCCC[C@H]1C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C |r|,505
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cccc(C)n2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccncc2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cccnc2)c1C,5500
COc1cc(cc(F)c1CNCC(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2cccc(N)n2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,
COc1cc(cc(F)c1CN1CC(O)C1)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)c2ccnc(N)c2)c1C,5500
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(N)nc2)c1C,5500
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(CNCCO)cn2)c1C,
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)N2CCNCC2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)C2CCN(CCO)CC2)c1C,505
COc1cc(cc(F)c1CN)-c1cccc(c1C)-c1cccc(NC(=O)C2CCCNC2)c1C,5500
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)C2CCN(CCO)CC2)c1C,505
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)c2ccccn2)c1C,
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)C2CCNCC2)c1C,505
CNCc1c(F)cc(cc1OC)-c1cccc(c1C)-c1cccc(NC(=O)c2nc3CCN(CCO)Cc3s2)c1F,
COc1cc(cc(F)c1CNCCS(O)(=O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(CNCCO)cn2)c1C,
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)c2nc3CCN(CCO)Cc3s2)c1F,
COc1cc(cc(F)c1CNCCCC(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(CNCCO)cn2)c1C,
COc1cc(cc(F)c1CN[C@@](C)(CO)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(CN[C@@](C)(CO)C(O)=O)cn2)c1C |r|,
COc1cc(cc(F)c1CNCCCC(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2nc3CCNCc3s2)c1F,
COc1cc(cc(F)c1CNCCO)-c1cccc(c1C)-c1cccc(NC(=O)c2ccc(CNCCO)cn2)c1C,
COc1c(F)c(ccc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl |r|,
COc1cc(cc(F)c1CN1CC2(C1)CCNC2=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl,
COc1cc(cc(F)c1CN1CCC[C@H](C1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl |r|,
COc1cc(cc(F)c1CN1CCC(CC1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl,
COc1cc(cc(F)c1CN1CCC(C)(CC1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl,
COc1cc(cc(F)c1CN1CCC2(CCNC2=O)CC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,505
COc1cc(cc(F)c1CN1CCC2(CCNC2=O)C1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CC(C)(C1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl,
COc1cc(cc(F)c1CN1CCC(C)(O)CC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl,
COc1cc(cc(F)c1CN1CC[C@H](C1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl |r|,
COc1cc(cc(F)c1CN1CC2(C1)CCNC2=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CC2(C1)CCNC2=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CCC(C)(CC1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1C)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CCC[C@H](C1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN1CC[C@@H](O)C1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN1CC(C)(C1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CCC(C)(O)CC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CCC(CC1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CCC(O)CC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CC[C@H](C1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
CO[C@@H]1COCC[C@@H]1NCc1c(F)cc(cc1OC)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1Cl |r|,
CO[C@@H]1COCC[C@@H]1NCc1c(F)cc(cc1OC)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1C |r|,
CO[C@@H]1COCC[C@@H]1NCc1c(F)cc(cc1OC)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
CO[C@@H]1COCC[C@@H]1NCc1c(F)cc(cc1OC)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl |r|,
COc1cc(cc(F)c1CNCC1(CC1)C(N)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1Cl,
COc1cc(cc(F)c1CN[C@H]1CCC(=O)NC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1Cl |r|,
COc1cc(cc(F)c1CN[C@@H]1CNC(=O)C1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1Cl |r|,
COc1cc(cc(F)c1CN[C@H]1CCOC[C@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1Cl |r|,
COc1cc(cc(F)c1CN[C@@H]1CCOC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1Cl |r|,
COc1cc(cc(F)c1CNCC1(CC1)C(N)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN[C@H]1CCC(=O)NC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN[C@@H]1CNC(=O)C1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN[C@H]1CCOC[C@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN[C@@H]1CCOC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2c[nH]c(=O)n(C)c2=O)c1C |r|,
CCOc1cc(cc(F)c1CN[C@H]1CCC(=O)NC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl |r|,
CCOc1cc(cc(F)c1CN[C@@H]1CCOC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl |r|,
CCOc1cc(cc(F)c1CN[C@H]1CCC(=O)NC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,505
CCOc1cc(cc(F)c1CN[C@@H]1CCOC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN[C@@H]1CNC(=O)C1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cncn(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN[C@H]1CCC(=O)NC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cncn(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN[C@@H]1CCOC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cncn(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN(C)[C@@H]1CCOC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CNCC(N)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CNCC(C)(C)O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CC(C1)C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN1CCCC[C@H]1C(O)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
CCOc1cc(ccc1CN[C@@H]1CCOC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cnc1CN[C@@H]1CCOC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CNC1(C)CCOCC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN[C@@H]1CCC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN[C@@H]1CCC[C@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN[C@H]1CCC[C@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(ccc1CN[C@@H]1CCOC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN(C)[C@H]1CNC(=O)C1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl |r|,505
COc1cc(cc(F)c1CNCC1(O)CC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CNC(C)(C)CO)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN(C)CCO)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CNCC1(CC1)C(N)=O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN[C@H]1CCC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CN(C)[C@H]1CNC(=O)C1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,505
COc1cc(cc(F)c1CN(C)[C@@H]1CCOC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C |r|,
COc1cc(cc(F)c1CNC(C)C)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl,
COc1cc(cc(F)c1CNC(C)C)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1C,
COc1cc(cc(F)c1CN[C@@H]1CCOC1)-c1cccc(c1Cl)-c1cccc(NC(=O)c2cn(C)c(=O)n(C)c2=O)c1Cl |r|,
